id,timestamp,fatigue_level,concentration_level,hour_of_day,minute_of_hour,day_of_week
2,2026-04-21 17:52:21.921816,9,2,17,52,1
3,2026-04-22 08:52:46.162884,1,1,8,52,2
4,2026-04-22 09:22:44.730829,4,5,9,22,2
5,2026-04-22 09:54:25.046190,2,8,9,54,2
6,2026-04-22 10:25:58.896858,1,9,10,25,2
7,2026-04-22 10:56:51.268225,1,10,10,56,2
8,2026-04-22 11:27:13.232400,1,10,11,27,2
9,2026-04-22 11:58:48.911355,1,10,11,58,2
10,2026-04-22 12:29:09.661796,2,10,12,29,2
11,2026-04-22 13:00:23.341779,2,9,13,0,2
12,2026-04-22 13:31:42.289562,2,8,13,31,2
13,2026-04-22 14:02:13.523407,2,8,14,2,2
14,2026-04-22 15:03:25.442401,1,6,15,3,2
15,2026-04-22 15:33:46.026228,3,7,15,33,2
16,2026-04-22 16:03:51.063757,5,6,16,3,2
17,2026-04-22 16:34:55.779877,7,4,16,34,2
18,2026-04-22 17:05:19.202373,7,3,17,5,2
19,2026-04-22 17:35:33.198286,9,2,17,35,2
20,2026-04-22 18:06:16.002626,10,1,18,6,2
